track_name,artist_name,duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_uri
Finale,Bruce Healey,210587,0.626,0.509,0.462,0.00173,7,0.148,-9.223,1,0.0394,125.812,4,0.315,0,spotify:track:58NaxllapZyj9yUXl0WjBU
Girlfriend,Ty Segall,132760,0.000596,0.224,0.925,1.35e-06,11,0.0663,-1.71,0,0.0834,138.022,4,0.378,37,spotify:track:5vEE1d5gkv3pgfZyppLeX8
Make Believe,Silversun Pickups,313173,0.00457,0.585,0.879,0.000376,5,0.23,-5.036,0,0.0325,107.024,4,0.385,25,spotify:track:0IJgsMMoFUJbnfCqLqvzGP
I Will Wait,Mumford & Sons,276720,0.0155,0.477,0.776,0.00314,1,0.203,-5.056,1,0.0349,131.004,4,0.429,0,spotify:track:71O1jD7bF3cdMPvPi186V6
In Christ Alone,Newsboys,257267,0.301,0.547,0.484,1.69e-06,7,0.207,-8.359,1,0.0281,75.952,3,0.229,33,spotify:track:6Xh15j0qTmZ4q1nlcE5GYH
On My Mind,Ellie Goulding,213445,0.258,0.702,0.705,5.93e-06,0,0.0879,-6.666,1,0.0543,154.911,4,0.743,61,spotify:track:5a7NdkF09AfD0H607eiOkX
You Look Like I Need A Drink,Justin Moore,187480,0.0028,0.608,0.841,0,11,0.0834,-3.626,1,0.028,106.004,4,0.917,48,spotify:track:1TGJxtVHgPHKVt6K7sPn1T
Attitude - 1995 Digital Remaster,Misfits,91013,0.00178,0.381,0.901,0.00115,2,0.329,-6.998,1,0.0422,87.472,4,0.595,52,spotify:track:0PTP53h7PvqEMeGyGClkOk
Breathe - Explicit Album Version,Fabolous,268960,0.34,0.713,0.91,0,10,0.304,-5.586,0,0.282,83.028,4,0.51,52,spotify:track:7fuoqve1SOEBmhc2PoQTF0
Like I'm Gonna Lose You,Meghan Trainor,225053,0.4,0.63,0.53,0,0,0.177,-7.259,1,0.0434,108.038,3,0.417,75,spotify:track:2YlZnw2ikdb837oKMKjBkW
Silly Girls,Estelle,206894,0.00568,0.424,0.641,0.00827,1,0.0442,-4.419,1,0.031,79.692,4,0.506,0,spotify:track:0BpvX7xBsMD4R3lA2QZFHb
